Город,Широта,Долгота,Страна,iso2,admin_name,Столица,Население,population_proper
Ramanavichy,52.4269,31.1233,Belarus,BY,HomyelвЂ™skaya VoblastsвЂ™,,1510,1510
Dzisna,55.5628,28.2258,Belarus,BY,Vitsyebskaya VoblastsвЂ™,,1492,1492
Novaya Mysh,53.1333,25.9000,Belarus,BY,Brestskaya VoblastsвЂ™,,1370,1370
Akhremawtsy,55.5808,27.1078,Belarus,BY,Vitsyebskaya VoblastsвЂ™,,1312,1312
Lakhva,52.2183,27.0958,Belarus,BY,Brestskaya VoblastsвЂ™,,1286,1286
Khal’ch,52.5622,31.1422,Belarus,BY,HomyelвЂ™skaya VoblastsвЂ™,,1285,1285
Nasilava,54.3094,26.7789,Belarus,BY,Minskaya VoblastsвЂ™,,1279,1279
Kavyerdzyaki,52.1772,23.6692,Belarus,BY,Brestskaya VoblastsвЂ™,,1273,1273
Haradzyets,52.1833,24.6667,Belarus,BY,Brestskaya VoblastsвЂ™,,1272,1272
Uza,52.6006,30.8178,Belarus,BY,HomyelвЂ™skaya VoblastsвЂ™,,1257,1257
Salonaye,52.8442,30.0103,Belarus,BY,HomyelвЂ™skaya VoblastsвЂ™,,1169,1169
Al’khowka,54.8069,26.2325,Belarus,BY,Hrodzyenskaya VoblastsвЂ™,,1160,1160
Bronnaye,52.3158,30.4794,Belarus,BY,HomyelвЂ™skaya VoblastsвЂ™,,1148,1148
Rudnya,51.8917,29.2056,Belarus,BY,HomyelвЂ™skaya VoblastsвЂ™,,1116,1116
Andreyewshchyna,54.5672,30.4522,Belarus,BY,Vitsyebskaya VoblastsвЂ™,,1091,1091
Yakimovskaya Sloboda,52.6222,29.8286,Belarus,BY,HomyelвЂ™skaya VoblastsвЂ™,,1057,1057
Tsishowka,53.8909,30.2513,Belarus,BY,Mahilyowskaya VoblastsвЂ™,,1052,1052
Lyubashava,52.7828,26.4233,Belarus,BY,Brestskaya VoblastsвЂ™,,1042,1042
